setup,horizon,n,win_rate,avg_win,avg_loss,expectancy,profit_factor,sharpe,max_dd,total_return
setup_d1_breakout_up,fwd_ret_H1_3,249,0.6827309236947792,0.003198111657722542,-0.0014783303982643862,0.0017144212062246813,4.714942860376876,94.17774799550756,-0.013063532613004303,0.42836921074821005
setup_d1_breakout_down,fwd_ret_M12_2,185,0.5351351351351351,0.0008950691195779095,-0.0006361224035151827,0.00018327197911301255,1.6388233819844982,15.499677087217062,-0.01287527784561715,0.03454143853942251
setup_d1_breakout_down,fwd_ret_M12_5,185,0.5297297297297298,0.0012785403175954067,-0.0009703940256084938,0.00022093335619681573,1.484134075956086,17.82988631345556,-0.017212913866505475,0.040872670896410904
setup_d1_breakout_down,fwd_ret_M12_10,185,0.5135135135135135,0.0014550330311255038,-0.002267801139322734,-0.00035607548422769307,0.6772499461659338,-21.861059824411026,-0.08221661947667958,-0.0658739645821232
setup_d1_breakout_down,fwd_ret_H1_1,185,0.5297297297297298,0.0012785403175954067,-0.0009703940256084938,0.00022093335619681573,1.484134075956086,17.82988631345556,-0.017212913866505475,0.040872670896410904
setup_d1_breakout_down,fwd_ret_H1_3,185,0.43783783783783786,0.0017524684548517284,-0.002648786892344321,-0.0007217507673557805,0.5152937443713967,-38.38593054297436,-0.14155584643271957,-0.13352389196081937
setup_h4_bull_engulf,fwd_ret_M12_2,349,0.6074498567335244,0.0012530348644345013,-0.0007494073694851152,0.00046697587862651427,2.5873816229555446,54.4667562327598,-0.00872780821455399,0.16297458164065348
setup_h4_bull_engulf,fwd_ret_M12_5,349,0.6819484240687679,0.0020230751495438726,-0.0008746926734906746,0.0011014355267449192,5.004270748552078,89.76602388561936,-0.009382872178137158,0.38527569150746743
setup_h4_bull_engulf,fwd_ret_M12_10,349,0.8166189111747851,0.002762717246000102,-0.0008643273436600322,0.0020975858599306214,14.23387253259601,137.7295125298965,-0.007728693061931913,0.732057465115787
setup_h4_bull_engulf,fwd_ret_H1_1,349,0.6819484240687679,0.0020230751495438726,-0.0008746926734906746,0.0011014355267449192,5.004270748552078,89.76602388561936,-0.009382872178137158,0.38527569150746743
setup_h4_bull_engulf,fwd_ret_H1_3,349,0.8939828080229226,0.003495612516230009,-0.0007418291544200092,0.003046370849141039,39.73491224690483,182.62297495116374,-0.002416654329187029,1.0631834263502227
setup_h4_bear_engulf,fwd_ret_M12_2,353,0.38243626062322944,0.0008214997926275583,-0.0011492610414937424,-0.0003955706375096756,0.44469557490321143,-52.89090921693405,-0.13069303931740306,-0.1384871739994218
setup_h4_bear_engulf,fwd_ret_M12_5,353,0.26912181303116145,0.000931927169564708,-0.0020187336838699286,-0.001224646485353525,0.16998352972813893,-120.46816999516817,-0.3519076255442769,-0.43230020932979435
setup_h4_bear_engulf,fwd_ret_M12_10,353,0.17280453257790368,0.0010189425703497194,-0.0031895393800445886,-0.0024622946237441556,0.0667373137679527,-153.1000624001354,-0.5823263136999635,-0.8691900021816871
setup_h4_bear_engulf,fwd_ret_H1_1,353,0.26912181303116145,0.000931927169564708,-0.0020187336838699286,-0.001224646485353525,0.16998352972813893,-120.46816999516817,-0.3519076255442769,-0.43230020932979435
setup_h4_bear_engulf,fwd_ret_H1_3,353,0.10764872521246459,0.0009777844112820626,-0.0035657272810646454,-0.0030766240393955945,0.033080192498024005,-187.26818706267358,-0.6638880844006738,-1.086048285906645
setup_h4_vol_compress,fwd_ret_M12_2,6696,0.5086618876941458,0.0005129366392103335,-0.00045405704647711085,3.7815787072984034e-05,1.1755793275019077,9.530028427628261,-0.028978222521330643,0.2609334800308123
setup_h4_vol_compress,fwd_ret_M12_5,6696,0.5241935483870968,0.000857465452008872,-0.0007356144898291645,9.946773774722556e-05,1.2943417991803696,14.77120225110635,-0.08567957721725294,0.6844263342011518
setup_h4_vol_compress,fwd_ret_M12_10,6696,0.546594982078853,0.0012307670150731747,-0.0011409033004328541,0.00015543979316811143,1.3082443325061999,16.74979490104117,-0.1496369969282796,1.0613611144614656
setup_h4_vol_compress,fwd_ret_H1_1,6696,0.5241935483870968,0.000857465452008872,-0.0007356144898291645,9.946773774722556e-05,1.2943417991803696,14.77120225110635,-0.08567957721725294,0.6844263342011518
setup_h4_vol_compress,fwd_ret_H1_3,6696,0.5548088410991637,0.0015228525613712196,-0.0015050332151870648,0.00017486458348587826,1.2656515118190679,15.585805208675694,-0.3287714199936532,1.1874486163884992
setup_h1_bull_engulf,fwd_ret_M12_2,1414,0.7878359264497878,0.0011513900652627789,-0.000519052561698414,0.0007969821528947746,8.320317145070426,122.4577278883419,-0.0077893900149758055,1.1284899218783067
setup_h1_bull_engulf,fwd_ret_M12_5,1414,0.8493635077793493,0.0019033655914543904,-0.0007598968936305128,0.0015021810728383476,14.189748278697003,152.54330467622532,-0.014286234794847696,2.1248439338870546
setup_h1_bull_engulf,fwd_ret_M12_10,1414,0.751060820367751,0.0025042705468975054,-0.0015558868226408997,0.001493538302146785,4.897814503211955,101.110968474281,-0.027776850183131363,2.1165308197034767
setup_h1_bull_engulf,fwd_ret_H1_1,1414,0.8493635077793493,0.0019033655914543904,-0.0007598968936305128,0.0015021810728383476,14.189748278697003,152.54330467622532,-0.014286234794847696,2.1248439338870546
