setup,bars_forward,minutes_forward,n,win_rate,median_ret,mean_ret,expectancy,std_ret,sharpe
setup_h1_bull_engulf,19,228,1414,0.6746817538896747,0.001110476327891195,0.001394999488286739,0.0013949994882867384,0.004569284563437097,14.658384096940157
setup_h1_bull_engulf,20,240,1414,0.6725601131541725,0.0012756964938278664,0.0014689084501764594,0.0014689084501764583,0.004641199571514474,14.811073704964496
setup_d1_breakout_up,1,12,249,0.5662650602409639,6.139300735576748e-05,0.00019694321385767656,0.00018939922082615405,0.0011004444622105525,37.4550125363736
setup_d1_breakout_up,2,24,249,0.5783132530120482,0.00010803749893866097,0.00024142213726325014,0.00023627165945023674,0.0013950841898711492,25.609360326841067
setup_d1_breakout_up,3,36,249,0.5381526104417671,7.149994981019335e-05,0.0003613382106303193,0.00035873600129062995,0.0017805281574662436,24.521185990541248
setup_d1_breakout_up,4,48,249,0.5983935742971888,0.0001404311237800524,0.0005467296149167954,0.0005439117871530337,0.0022535047759792313,25.38757245566587
setup_d1_breakout_up,5,60,249,0.5903614457831325,0.00015773394467187302,0.0005605537496537495,0.0005538558923698237,0.002330696946599242,22.510415320523343
setup_d1_breakout_up,6,72,249,0.5863453815261044,0.00017819035019110187,0.000602998467572578,0.000595862779727327,0.0025643391890622816,20.091028469774354
setup_d1_breakout_up,7,84,249,0.5783132530120482,0.0001818222029574928,0.0007152766557040215,0.0007071604695896411,0.0028698723415873308,19.715123766305812
setup_d1_breakout_up,8,96,249,0.570281124497992,0.0002070615670454755,0.0007939222165884085,0.0007859362497521138,0.003044207169718641,19.297267291025324
setup_d1_breakout_up,9,108,249,0.5823293172690763,0.0002376231753180619,0.0008103899793890088,0.0008103899793890091,0.0028943019543458243,19.532868438308412
setup_d1_breakout_up,10,120,249,0.6024096385542169,0.0003145683425659562,0.001005249691171179,0.0010052496911711797,0.003319702533750918,20.040651398790803
setup_d1_breakout_up,11,132,249,0.6265060240963856,0.00041600508043780567,0.001191446581015799,0.0011865314022718864,0.003641583108932716,20.645483686466832
setup_d1_breakout_up,12,144,249,0.6546184738955824,0.0004468501355885894,0.001448698047628079,0.0014486980476280792,0.00380774294408365,22.98564447285629
setup_d1_breakout_up,13,156,249,0.6465863453815262,0.000594267660132583,0.001551037591943812,0.001546297500551525,0.0038723392594092235,23.249536732642788
setup_d1_breakout_up,14,168,249,0.6385542168674698,0.0004932976528196266,0.001561457583811359,0.0015568756441900684,0.003953743616141042,22.08994960319518
setup_d1_breakout_up,15,180,249,0.6827309236947792,0.0008425360833014205,0.001720358276097229,0.0017144212062246813,0.003815345061994148,24.3655660329739
setup_d1_breakout_up,16,192,249,0.6867469879518072,0.0009290063122192991,0.001864195452919453,0.0018641954529194527,0.0038834812314009494,25.115816285560985
setup_d1_breakout_up,17,204,249,0.6947791164658634,0.0010435611708899618,0.002015022784550837,0.002015022784550837,0.003947441547178207,25.91056289829501
setup_d1_breakout_up,18,216,249,0.7188755020080321,0.0010210983306667494,0.002155151174555164,0.0021551511745551634,0.004181606414373407,25.423502934474325
setup_d1_breakout_up,19,228,249,0.7269076305220884,0.0011549898773257315,0.0022957800024211265,0.002295780002421128,0.004254612542223875,25.907798304717858
setup_d1_breakout_up,20,240,249,0.7108433734939759,0.001254963441601273,0.002347892951649376,0.002347892951649375,0.004360572692796364,25.1974631486909
confluence_d1_h4_h1_long,1,12,29750,0.5546218487394958,6.851177935709737e-05,0.00011316972414146024,0.00011148442530717201,0.0008204328095807734,28.868504929239496
confluence_d1_h4_h1_long,2,24,29750,0.5728067226890756,0.00012676863075974741,0.0002114106937903461,0.00020993084844884215,0.0011525766460793083,27.144334180020174
confluence_d1_h4_h1_long,3,36,29750,0.5832605042016806,0.0001790088850405516,0.00030288965922683293,0.00030131694589847845,0.0014217840821178973,25.741107411418714
confluence_d1_h4_h1_long,4,48,29750,0.5896134453781513,0.00022480245745887218,0.00038236060995558197,0.00038078290952581813,0.001661430968251693,24.08229677638884
confluence_d1_h4_h1_long,5,60,29750,0.5949915966386554,0.0002658568277661244,0.0004554235138922573,0.0004538520202473751,0.001850416567689403,23.03551863695141
confluence_d1_h4_h1_long,6,72,29750,0.5975126050420168,0.0003130559025734256,0.0005206787697692956,0.0005193049827001396,0.0020254222806001866,21.964216556845237
confluence_d1_h4_h1_long,7,84,29750,0.6026890756302521,0.00034494485497050685,0.0005883530140510838,0.0005868395919123973,0.002205352695450152,21.103182906700734
confluence_d1_h4_h1_long,8,96,29750,0.6055126050420168,0.00038004741954249005,0.0006506282614963986,0.0006491944594052697,0.0023662006928824044,20.34573616596669
confluence_d1_h4_h1_long,9,108,29750,0.609109243697479,0.0004141236957703723,0.0007084413294024116,0.0007070089756886162,0.002507151253674055,19.71238417867172
confluence_d1_h4_h1_long,10,120,29750,0.6136134453781512,0.00045655298854855783,0.0007720547951804887,0.0007706871023226106,0.0026508763921146744,19.27505839645498
confluence_d1_h4_h1_long,11,132,29750,0.6170756302521009,0.0004981817392825127,0.0008313586526316553,0.0008303073399655861,0.0027934276985983214,18.779831822326255
confluence_d1_h4_h1_long,12,144,29750,0.6182521008403361,0.0005276356426631118,0.0008896248422208164,0.0008877290730634876,0.0029320705250259617,18.3306945996989
confluence_d1_h4_h1_long,13,156,29750,0.6211764705882353,0.0005672631160309213,0.0009478423739453628,0.00094659659388498,0.0030590170314717916,17.98537942867862
confluence_d1_h4_h1_long,14,168,29750,0.6241680672268908,0.0006008437720717277,0.001004274151640766,0.0010028188608880593,0.0031838781321380694,17.642855865396406
confluence_d1_h4_h1_long,15,180,29750,0.6250420168067227,0.0006385053376259985,0.001059115013559727,0.001057838004867076,0.00330244347768886,17.330023710602696
confluence_d1_h4_h1_long,16,192,29750,0.6278655462184874,0.0006678539308523725,0.0011135244639733646,0.0011122039471085517,0.0034148779313593384,17.06088842727649
confluence_d1_h4_h1_long,17,204,29750,0.6290420168067227,0.0006849242222104546,0.0011631892344098936,0.001161943902938152,0.0035332036856401696,16.710686579848147
confluence_d1_h4_h1_long,18,216,29750,0.6286386554621849,0.0007225963457789121,0.0012113817113306457,0.0012097367413638348,0.0036389587398496285,16.421192189151334
confluence_d1_h4_h1_long,19,228,29750,0.6298151260504201,0.000763869943761067,0.0012597176905254446,0.0012586491795718632,0.00375370233168144,16.11289781725884
confluence_d1_h4_h1_long,20,240,29750,0.6290084033613446,0.0007982999655694044,0.001305466482345587,0.0013041115576817623,0.0038653397860649056,15.805204021742812
setup_h4_vol_compress,1,12,6696,0.5026881720430108,4.904736499997473e-06,1.6623542102529926e-05,1.4453336558541309e-05,0.0005849085985511163,5.948022697422373
setup_h4_vol_compress,2,24,6696,0.5086618876941458,1.0330967937045434e-05,3.896856033912967e-05,3.7815787072984034e-05,0.0008557064169028928,6.739250974479148
setup_h4_vol_compress,3,36,6696,0.5085125448028673,1.4732035482394306e-05,6.125928780515627e-05,5.9617024792743144e-05,0.0011005948227207384,6.725443147456822
setup_h4_vol_compress,4,48,6696,0.515531660692951,2.9603850531009033e-05,8.218489814477742e-05,8.093727072668792e-05,0.0012894123123369371,6.669714865543817
setup_h4_vol_compress,5,60,6696,0.5241935483870968,4.0841193711542755e-05,0.00010221420761665948,9.946773774722556e-05,0.001448104973216845,6.6063757946247375
setup_h4_vol_compress,6,72,6696,0.5294205495818399,5.620414922675276e-05,0.0001196996339973552,0.00011689514013175283,0.0015820073067992606,6.464661173125111
setup_h4_vol_compress,7,84,6696,0.5371863799283154,8.089347687161991e-05,0.00013795040592151157,0.0001362001699610221,0.0017172886047339018,6.354300218316117
setup_h4_vol_compress,8,96,6696,0.5392771804062126,0.00010180992393228402,0.00015294836067163037,0.0001516403860687027,0.0018281755907359114,6.190403845776738
setup_h4_vol_compress,9,108,6696,0.546594982078853,0.00011263090713394363,0.00015630293628295637,0.00015535206371310075,0.0018934593096476356,5.758733230988658
setup_h4_vol_compress,10,120,6696,0.546594982078853,0.0001228263343888542,0.00015850673752411374,0.00015543979316811143,0.001980354123858962,5.297145783098939
setup_h4_vol_compress,11,132,6696,0.5500298685782556,0.00013861904232694616,0.00016333890216689264,0.00016206952355091707,0.0020694339397159048,4.980566894274204
setup_h4_vol_compress,12,144,6696,0.5464456391875747,0.00015555759942875282,0.00017052105016017807,0.00016804652524771656,0.002154838194317377,4.780901169249435
setup_h4_vol_compress,13,156,6696,0.5509259259259259,0.0001595903524456058,0.00017338367059590602,0.00017074916448515346,0.002230288496110366,4.512451298133201
setup_h4_vol_compress,14,168,6696,0.5531660692951016,0.00018030491699901147,0.00017499813476899262,0.0001726432650052624,0.0023044968206372284,4.247470232295906
setup_h4_vol_compress,15,180,6696,0.5548088410991637,0.00018197344230951604,0.00017733700961596464,0.00017486458348587826,0.0023810842378062776,4.024538129996679
setup_h4_vol_compress,16,192,6696,0.5528673835125448,0.00019221552856294501,0.00018343039883338073,0.00018134487881716352,0.0024264865846361557,3.9552184934211203
setup_h4_vol_compress,17,204,6696,0.5470430107526881,0.00019937558254129066,0.00018864844585194033,0.00018650702217224726,0.0024842989007854525,3.854446118739502
setup_h4_vol_compress,18,216,6696,0.5458482676224612,0.00019065433673398516,0.00019958859293527,0.00019664191485459237,0.0025292903989686927,3.8925824808636125
setup_h4_vol_compress,19,228,6696,0.5495818399044206,0.00021419516620173193,0.00021591081067115874,0.00021438656146505663,0.002559060066879468,4.050924630034429
setup_h4_vol_compress,20,240,6696,0.5473416965352449,0.00022117463919618695,0.00023161416143290876,0.00023006383628071706,0.0025954151868026686,4.176190734892679
setup_h1_trend_pullback_long,1,12,45522,0.5262949782522737,3.468240464752023e-05,5.7109735941798914e-05,5.5242841894012374e-05,0.0008261212309098952,14.467830894284909
setup_h1_trend_pullback_long,2,24,45522,0.5328851983656254,5.866201059777325e-05,9.766151236341374e-05,9.594469141068678e-05,0.0011686593885152324,12.366806069750512
setup_h1_trend_pullback_long,3,36,45522,0.5337858617811169,7.364143571372761e-05,0.0001263778084166311,0.00012461325828178543,0.0014480802848628076,10.545194801025502
setup_h1_trend_pullback_long,4,48,45522,0.5316769913448443,8.103779041373612e-05,0.00014248812117796455,0.00014079042113050375,0.001704184833013215,8.74921368812107
setup_h1_trend_pullback_long,5,60,45521,0.5292282682717866,8.236287321668644e-05,0.000152087095042475,0.00015011275357320654,0.001941111984770493,7.333205014687019
setup_h1_trend_pullback_long,6,72,45520,0.5280536028119508,8.856938536334048e-05,0.00016071640517901898,0.00015885031567740022,0.002149504866087125,6.388269175138727
setup_h1_trend_pullback_long,7,84,45520,0.5270430579964851,9.154253788083823e-05,0.00017348127557313374,0.000171983843348584,0.002341795942105971,5.859918729727492
setup_h1_trend_pullback_long,8,96,45520,0.5246485061511423,9.539603052195257e-05,0.0001821501702965228,0.00018040830555284177,0.00252915939135824,5.3289966015615535
setup_h1_trend_pullback_long,9,108,45519,0.5250335024934643,0.00010311277846510521,0.00019138802894620217,0.00018959498424353917,0.0026880764879346616,4.966940392334797
setup_h1_trend_pullback_long,10,120,45518,0.5252207917746825,0.00010878669491533267,0.0002073876292096301,0.00020549183419184996,0.00282981248403411,4.850228999885458
