setup,session,horizon,n,win_rate,expectancy,profit_factor,avg_win,avg_loss
setup_h4_vol_compress,asian,M12_10,4354,0.5303169499310978,0.00010252133249651996,1.2015098564512559,0.0011755945621025896,-0.0011090806661149296
setup_h4_vol_compress,asian,H1_1,4354,0.518833256775379,7.687083028172064e-05,1.2306832495686388,0.0008124211853996257,-0.0007162596003680872
setup_h4_vol_compress,asian,H1_3,4354,0.5399632521819017,0.00010787821087291033,1.1634527837707713,0.001457852190901162,-0.0014766394261946979
setup_h4_vol_compress,london,M12_2,120,0.44166666666666665,-0.00019539907378734642,0.6853364835344596,0.0009635745866377055,-0.0011121991335265665
setup_h4_vol_compress,london,M12_5,120,0.4666666666666667,-0.0002266956219144729,0.7707162456973822,0.0016328924502557898,-0.001853835185063453
setup_h4_vol_compress,london,M12_10,120,0.5833333333333334,0.000364847977217093,1.2605896694277474,0.0030256012965943118,-0.0033602066699110135
setup_h4_vol_compress,london,H1_1,120,0.4666666666666667,-0.0002266956219144729,0.7707162456973822,0.0016328924502557898,-0.001853835185063453
setup_h4_vol_compress,london,H1_3,120,0.6333333333333333,0.0011793816261177572,2.176253011187984,0.0034453285906033897,-0.002734526767084699
setup_h4_vol_compress,ny,M12_2,53,0.41509433962264153,-0.0004329796141521934,0.5241574347506108,0.0011489975430999265,-0.0015556730805891819
setup_h4_vol_compress,ny,M12_5,53,0.41509433962264153,-0.0008033042760153494,0.4462859351222863,0.001559771254918699,-0.0024803256205491904
setup_h4_vol_compress,ny,M12_10,53,0.4339622641509434,-0.0008188080765100833,0.7113372217869794,0.004649592570044373,-0.005011248572201833
setup_h4_vol_compress,ny,H1_1,53,0.41509433962264153,-0.0008033042760153494,0.4462859351222863,0.001559771254918699,-0.0024803256205491904
setup_h4_vol_compress,ny,H1_3,53,0.5283018867924528,-0.0003454398826607582,0.8961920988612457,0.0056449619145530466,-0.0070546898955402195
setup_h4_vol_compress,overlap,M12_2,35,0.37142857142857144,-0.0006360290988703403,0.45592443850113223,0.0014349452483131517,-0.0018597866676605854
setup_h4_vol_compress,overlap,M12_5,35,0.42857142857142855,-0.0007212811516913777,0.5408134947577258,0.001982164858411186,-0.0027488656592683006
setup_h4_vol_compress,overlap,M12_10,35,0.6285714285714286,0.0010525652864488248,1.5290854467583788,0.00483949834307575,-0.005356090655535203
setup_h4_vol_compress,overlap,H1_1,35,0.42857142857142855,-0.0007212811516913777,0.5408134947577258,0.001982164858411186,-0.0027488656592683006
setup_h4_vol_compress,overlap,H1_3,35,0.7714285714285715,0.0030174030999891802,3.063707642973545,0.005806798551061721,-0.006396806547380648
setup_h1_trend_pullback_long,asian,M12_2,14496,0.5260761589403974,6.231821214151769e-05,1.2277140404740847,0.0006577098054723802,-0.0005985924560886364
setup_h1_trend_pullback_long,asian,M12_5,14496,0.5215231788079471,9.787200933262277e-05,1.2121620758593703,0.001094617441848011,-0.000988546022647818
setup_h1_trend_pullback_long,asian,M12_10,14496,0.5146247240618101,0.0001444932798975435,1.2095840962058846,0.0016393918360343741,-0.0014404901238518533
setup_h1_trend_pullback_long,asian,H1_1,14496,0.5215231788079471,9.787200933262277e-05,1.2121620758593703,0.001094617441848011,-0.000988546022647818
