setup,day_of_week,horizon,n,win_rate,expectancy,profit_factor
setup_d1_breakout_up,Mon,M12_10,46,0.5217391304347826,0.0009820227924173647,2.002529453870594
setup_d1_breakout_up,Mon,H1_1,46,0.4782608695652174,0.0008130120653547507,2.200046000562312
setup_d1_breakout_up,Mon,H1_3,46,0.6304347826086957,0.0018254759675055531,2.6345318339292625
setup_d1_breakout_up,Tue,M12_2,53,0.5660377358490566,0.00018820420365089774,1.9106477254695005
setup_d1_breakout_up,Tue,M12_5,53,0.5283018867924528,0.00033137538641526986,1.8682243491857933
setup_d1_breakout_up,Tue,M12_10,53,0.6037735849056604,0.0010119417278282871,4.07396581516109
setup_d1_breakout_up,Tue,H1_1,53,0.5283018867924528,0.00033137538641526986,1.8682243491857933
setup_d1_breakout_up,Tue,H1_3,53,0.660377358490566,0.0019864351586785073,6.711155476262201
setup_d1_breakout_up,Wed,M12_2,52,0.6153846153846154,0.0003722691634872512,3.3480785425288846
setup_d1_breakout_up,Wed,M12_5,52,0.6538461538461539,0.0008876682445632296,4.263938842790692
setup_d1_breakout_up,Wed,M12_10,52,0.6153846153846154,0.0017704999462967435,7.750503528577655
setup_d1_breakout_up,Wed,H1_1,52,0.6538461538461539,0.0008876682445632296,4.263938842790692
setup_d1_breakout_up,Wed,H1_3,52,0.6538461538461539,0.0023920725614539804,9.211258907248006
setup_d1_breakout_up,Thu,M12_2,44,0.6818181818181818,0.0003363655392721477,3.0771268701880037
setup_d1_breakout_up,Thu,M12_5,44,0.7045454545454546,0.0004701341300694299,3.58117053571792
setup_d1_breakout_up,Thu,M12_10,44,0.6363636363636364,0.0006073310291865755,2.8633785464193173
setup_d1_breakout_up,Thu,H1_1,44,0.7045454545454546,0.0004701341300694299,3.58117053571792
setup_d1_breakout_up,Thu,H1_3,44,0.8181818181818182,0.0010410342429040137,4.656820682160337
setup_d1_breakout_up,Fri,M12_2,54,0.5185185185185185,-4.0398097421001715e-05,0.8824394809883488
setup_d1_breakout_up,Fri,M12_5,54,0.5925925925925926,0.00029506725429159276,2.7176951428074463
setup_d1_breakout_up,Fri,M12_10,54,0.6296296296296297,0.0006057898256275127,2.755779777880663
setup_d1_breakout_up,Fri,H1_1,54,0.5925925925925926,0.00029506725429159276,2.7176951428074463
setup_d1_breakout_up,Fri,H1_3,54,0.6666666666666666,0.001259730714589573,4.839335606515036
confluence_d1_h4_h1_long,Mon,M12_2,5569,0.5679655234332914,0.00019903842211751012,1.6813729905661143
confluence_d1_h4_h1_long,Mon,M12_5,5569,0.5857425031423954,0.00042565317052728176,2.002871939454601
confluence_d1_h4_h1_long,Mon,M12_10,5569,0.604596875561142,0.000737405343057631,2.3347110011390018
confluence_d1_h4_h1_long,Mon,H1_1,5569,0.5857425031423954,0.00042565317052728176,2.002871939454601
confluence_d1_h4_h1_long,Mon,H1_3,5569,0.6182438498832824,0.0010097221154130261,2.569544384200767
confluence_d1_h4_h1_long,Tue,M12_2,6513,0.5757715338553662,0.0002004277236043026,1.7362277582394516
confluence_d1_h4_h1_long,Tue,M12_5,6513,0.5964993090741594,0.0004424944512820226,2.1773574593505405
confluence_d1_h4_h1_long,Tue,M12_10,6513,0.6184553968985107,0.0007320667611259528,2.5186568793840562
confluence_d1_h4_h1_long,Tue,H1_1,6513,0.5964993090741594,0.0004424944512820226,2.1773574593505405
