setup,context,horizon,n,win_rate,expectancy,profit_factor
setup_h4_bull_engulf,vol_low,M12_5,115,0.591304347826087,0.0003844444987848048,2.8435219309942608
setup_h4_bull_engulf,vol_low,M12_10,115,0.8,0.0010361136864082032,8.651194241128719
setup_h4_bull_engulf,vol_low,H1_1,115,0.591304347826087,0.0003844444987848048,2.8435219309942608
setup_h4_bull_engulf,vol_low,H1_3,115,0.8521739130434782,0.0016401971815946483,14.726037871525108
setup_h4_bull_engulf,vol_high,M12_2,119,0.6722689075630253,0.0009386935494245,3.426633015942937
setup_h4_bull_engulf,vol_high,M12_5,119,0.7983193277310925,0.0021085951204462767,8.926892168422395
setup_h4_bull_engulf,vol_high,M12_10,119,0.8571428571428571,0.003432131672588567,18.07104747851342
setup_h4_bull_engulf,vol_high,H1_1,119,0.7983193277310925,0.0021085951204462767,8.926892168422395
setup_h4_bull_engulf,vol_high,H1_3,119,0.9411764705882353,0.004742534022806736,97.60534920628355
setup_h4_bull_engulf,vol_normal,M12_2,115,0.5478260869565217,0.0002675076925387194,1.8497940522136436
setup_h4_bull_engulf,vol_normal,M12_5,115,0.6521739130434783,0.0007792538129968655,3.2240349758903672
setup_h4_bull_engulf,vol_normal,M12_10,115,0.7913043478260869,0.0017780932360069925,13.92636938515321
setup_h4_bull_engulf,vol_normal,H1_1,115,0.6521739130434783,0.0007792538129968655,3.2240349758903672
setup_h4_bull_engulf,vol_normal,H1_3,115,0.8869565217391304,0.0026973843630681417,40.446530446407614
setup_h1_bull_engulf,d1_strong_up,M12_2,354,0.8192090395480226,0.0009197027879138852,9.934346967119794
setup_h1_bull_engulf,d1_strong_up,M12_5,354,0.8898305084745762,0.0017563215102345334,22.65515941670551
setup_h1_bull_engulf,d1_strong_up,M12_10,354,0.8248587570621468,0.0021770783342130026,11.77361467676392
setup_h1_bull_engulf,d1_strong_up,H1_1,354,0.8898305084745762,0.0017563215102345334,22.65515941670551
setup_h1_bull_engulf,d1_strong_up,H1_3,354,0.7994350282485876,0.002625966854252575,9.980045674203936
setup_h1_bull_engulf,d1_strong_down,M12_2,354,0.768361581920904,0.0006715888692742499,5.7959341504252295
setup_h1_bull_engulf,d1_strong_down,M12_5,354,0.827683615819209,0.0012670701969616353,10.639471865142442
setup_h1_bull_engulf,d1_strong_down,M12_10,354,0.6129943502824858,0.0005989552610948086,1.8737390211859042
setup_h1_bull_engulf,d1_strong_down,H1_1,354,0.827683615819209,0.0012670701969616353,10.639471865142442
setup_h1_bull_engulf,d1_strong_down,H1_3,354,0.5451977401129944,-3.984802063282367e-05,0.9781461187031393
setup_h1_bull_engulf,d1_neutral,M12_2,706,0.7818696883852692,0.000798610167781944,9.293539334335394
setup_h1_bull_engulf,d1_neutral,M12_5,706,0.839943342776204,0.0014926298914585653,13.283014628345018
setup_h1_bull_engulf,d1_neutral,M12_10,706,0.78328611898017,0.001600016178406171,5.952710407692836
setup_h1_bull_engulf,d1_neutral,H1_1,706,0.839943342776204,0.0014926298914585653,13.283014628345018
setup_h1_bull_engulf,d1_neutral,H1_3,706,0.7294617563739377,0.0016487321074680475,4.352405108207995
setup_h1_bull_engulf,h4_up,M12_2,838,0.8007159904534606,0.0008509445373227221,8.692693118739248
setup_h1_bull_engulf,h4_up,M12_5,838,0.8675417661097852,0.0016734328406045008,17.35960427365356
setup_h1_bull_engulf,h4_up,M12_10,838,0.7995226730310262,0.0018489935053585455,7.04726239113627
setup_h1_bull_engulf,h4_up,H1_1,838,0.8675417661097852,0.0016734328406045008,17.35960427365356
setup_h1_bull_engulf,h4_up,H1_3,838,0.7398568019093079,0.0019208644266300384,4.905797652750767
setup_h1_bull_engulf,h4_down,M12_2,576,0.7690972222222222,0.0007185804037554916,7.757586928488802
setup_h1_bull_engulf,h4_down,M12_5,576,0.8229166666666666,0.0012530571007794752,10.585036000021546
setup_h1_bull_engulf,h4_down,M12_10,576,0.6805555555555556,0.0009764179667659834,2.970111947268694
setup_h1_bull_engulf,h4_down,H1_1,576,0.8229166666666666,0.0012530571007794752,10.585036000021546
setup_h1_bull_engulf,h4_down,H1_3,576,0.6440972222222222,0.0008177815384068825,1.8722206868806253
setup_h1_bull_engulf,h1_up,M12_2,712,0.7921348314606742,0.000783066590628704,7.78552044725587
setup_h1_bull_engulf,h1_up,M12_5,712,0.8455056179775281,0.0015193510110543115,13.399935980648836
setup_h1_bull_engulf,h1_up,M12_10,712,0.7640449438202247,0.0016279645885671765,5.614031166976761
setup_h1_bull_engulf,h1_up,H1_1,712,0.8455056179775281,0.0015193510110543115,13.399935980648836
setup_h1_bull_engulf,h1_up,H1_3,712,0.7064606741573034,0.0016317663170997932,3.8837457971221334
setup_h1_bull_engulf,h1_down,M12_2,702,0.7834757834757835,0.0008111512794402414,8.932010136141235
setup_h1_bull_engulf,h1_down,M12_5,702,0.8532763532763533,0.0014848175506041576,15.122675457713065
setup_h1_bull_engulf,h1_down,M12_10,702,0.7378917378917379,0.0013572571824243442,4.278182682683865
setup_h1_bull_engulf,h1_down,H1_1,702,0.8532763532763533,0.0014848175506041576,15.122675457713065
setup_h1_bull_engulf,h1_down,H1_3,702,0.6951566951566952,0.0013089319124295737,2.6733950807572535
setup_h1_bull_engulf,vol_low,M12_2,467,0.8008565310492506,0.0005179296505361051,10.712683122549139
setup_h1_bull_engulf,vol_low,M12_5,467,0.8629550321199143,0.001016886322613405,24.101953059944105
setup_h1_bull_engulf,vol_low,M12_10,467,0.7558886509635975,0.001101821128082647,6.148336398303252
setup_h1_bull_engulf,vol_low,H1_1,467,0.8629550321199143,0.001016886322613405,24.101953059944105
setup_h1_bull_engulf,vol_low,H1_3,467,0.6937901498929336,0.0010993429456097928,3.6508746183637366
setup_h1_bull_engulf,vol_high,M12_2,481,0.7650727650727651,0.0010936582216980715,7.597125327341064
setup_h1_bull_engulf,vol_high,M12_5,481,0.8316008316008316,0.0020646870003355805,11.381523311725639
setup_h1_bull_engulf,vol_high,M12_10,481,0.7276507276507277,0.0018559450136066585,3.8697210992025166
setup_h1_bull_engulf,vol_high,H1_1,481,0.8316008316008316,0.0020646870003355805,11.381523311725639
setup_h1_bull_engulf,vol_high,H1_3,481,0.681912681912682,0.001828877920450595,2.685732717917917
setup_h1_bull_engulf,vol_normal,M12_2,466,0.7982832618025751,0.0007714308701839934,8.278970400302725
setup_h1_bull_engulf,vol_normal,M12_5,466,0.8540772532188842,0.001408834898115103,15.632780295389718
setup_h1_bull_engulf,vol_normal,M12_10,466,0.7703862660944206,0.0015162131542837249,6.374957112031724
setup_h1_bull_engulf,vol_normal,H1_1,466,0.8540772532188842,0.001408834898115103,15.632780295389718
setup_h1_bull_engulf,vol_normal,H1_3,466,0.7274678111587983,0.0014756704492145207,3.9076397619172236
setup_d1_breakout_up,d1_strong_up,M12_2,62,0.6612903225806451,0.0006080892284181538,2.8963771152315916
setup_d1_breakout_up,d1_strong_up,M12_5,62,0.6774193548387096,0.0012604051454325972,4.001495390001547
setup_d1_breakout_up,d1_strong_up,M12_10,62,0.7258064516129032,0.0020635367686321657,5.497242290973336
setup_d1_breakout_up,d1_strong_up,H1_1,62,0.6774193548387096,0.0012604051454325972,4.001495390001547
setup_d1_breakout_up,d1_strong_up,H1_3,62,0.7741935483870968,0.0031756482204362674,6.622860816810354
setup_d1_breakout_up,d1_strong_down,M12_2,62,0.5645161290322581,0.00014570827140324703,1.6242719103078096
setup_d1_breakout_up,d1_strong_down,M12_5,62,0.4838709677419355,0.0003833505650857744,2.1630267297971613
setup_d1_breakout_up,d1_strong_down,M12_10,62,0.5,0.0007709981182390847,2.69666740982993
setup_d1_breakout_up,d1_strong_down,H1_1,62,0.4838709677419355,0.0003833505650857744,2.1630267297971613
setup_d1_breakout_up,d1_strong_down,H1_3,62,0.5483870967741935,0.0010677417507483757,2.9366264949050036
setup_d1_breakout_up,d1_neutral,M12_2,125,0.544,9.789218724288253e-05,1.4158561752453422
setup_d1_breakout_up,d1_neutral,M12_5,125,0.6,0.0002899638998795994,2.0179766975303712
setup_d1_breakout_up,d1_neutral,M12_10,125,0.592,0.000596528080924849,2.420443267720638
setup_d1_breakout_up,d1_neutral,H1_1,125,0.6,0.0002899638998795994,2.0179766975303712
setup_d1_breakout_up,d1_neutral,H1_3,125,0.704,0.0013119854587413991,4.584403754193326
setup_d1_breakout_up,h4_up,M12_2,190,0.5894736842105263,0.00028994675143184103,2.104638402805775
setup_d1_breakout_up,h4_up,M12_5,190,0.6052631578947368,0.0006518868605356091,3.013556466656213
setup_d1_breakout_up,h4_up,M12_10,190,0.6210526315789474,0.0011836732738733217,3.7784196998072312
setup_d1_breakout_up,h4_up,H1_1,190,0.6052631578947368,0.0006518868605356091,3.013556466656213
setup_d1_breakout_up,h4_up,H1_3,190,0.6789473684210526,0.001968348653347762,5.325388713072517
setup_d1_breakout_up,h4_down,M12_2,59,0.5423728813559322,6.23694109529803e-05,1.2459977489024636
setup_d1_breakout_up,h4_down,M12_5,59,0.5423728813559322,0.00023747228353343026,1.6663111714818317
setup_d1_breakout_up,h4_down,M12_10,59,0.5423728813559322,0.0004306652722998727,1.901910007556755
setup_d1_breakout_up,h4_down,H1_1,59,0.5423728813559322,0.00023747228353343026,1.6663111714818317
setup_d1_breakout_up,h4_down,H1_3,59,0.6949152542372882,0.000897226132801272,2.8566152397405955
setup_d1_breakout_up,h1_up,M12_2,184,0.5815217391304348,0.0002663435341054864,2.0163962993224493
setup_d1_breakout_up,h1_up,M12_5,184,0.592391304347826,0.0005707331007308177,2.772628228407421
setup_d1_breakout_up,h1_up,M12_10,184,0.6195652173913043,0.0009966816062485723,3.1596377612399382
setup_d1_breakout_up,h1_up,H1_1,184,0.592391304347826,0.0005707331007308177,2.772628228407421
setup_d1_breakout_up,h1_up,H1_3,184,0.6739130434782609,0.001755773965315989,4.694120994166126
setup_d1_breakout_up,h1_down,M12_2,65,0.5692307692307692,0.00015056125788569024,1.5919936339317324
setup_d1_breakout_up,h1_down,M12_5,65,0.5846153846153846,0.0005063758738123822,2.4177578530526245
setup_d1_breakout_up,h1_down,M12_10,65,0.5538461538461539,0.0010295039623367125,3.765138263514338
setup_d1_breakout_up,h1_down,H1_1,65,0.5846153846153846,0.0005063758738123822,2.4177578530526245
setup_d1_breakout_up,h1_down,H1_3,65,0.7076923076923077,0.0015971955799305884,4.781576508167626
setup_d1_breakout_up,vol_low,M12_2,82,0.5487804878048781,1.4838298651279335e-05,1.176230780192058
