setup,mae,mfe,mfe_mae_ratio
setup_h4_bull_engulf,5.598766548666595e-05,0.004272289550978954,76.3076923076288
setup_h4_bull_engulf,0.0017008120839470348,0.002785887134971194,1.6379746835441402
setup_h4_bull_engulf,0.00087348645880853,0.0031023829399058683,3.5517241379307025
setup_h4_bull_engulf,0.001149805678597507,0.001701372978293605,1.4797047970478634
setup_h4_bull_engulf,0.0008600237247924927,0.0021648873072361153,2.5172413793101596
setup_h4_bull_engulf,0.0020472632537222473,0.010899159699119433,5.323770491803163
setup_h4_bull_engulf,0.0010873222330725003,0.011468172231841831,10.547169811322306
setup_h4_bull_engulf,0.002378858553151621,0.004559141179378902,1.916524701873822
setup_h4_bull_engulf,0.00016716677393205126,0.002971389406641399,17.774999999995142
setup_h4_bull_engulf,0.0013675000519566738,0.0016709271151567977,1.221884498480251
setup_h4_bull_engulf,0.002434947090715215,0.003152572042493315,1.2947189097104006
setup_h4_bull_engulf,0.0001187849991514277,0.009367045647378409,78.85714285721595
setup_h4_bull_engulf,0.0012608432519669154,0.0037152847824623806,2.9466666666665633
setup_h4_bull_engulf,0.0004241111337488438,0.006819041758314714,16.07843137254895
setup_h4_bull_engulf,0.0019139306220686506,0.008210187368057804,4.289699570815118
setup_h4_bull_engulf,0.0009708817745744687,0.011481911156089753,11.826271186439978
setup_h4_bull_engulf,0.0022829259432033395,0.0018989980721040936,0.8318264014466764
setup_h4_bull_engulf,0.0024529777338766256,0.0019796682718032682,0.8070469798658341
setup_h4_bull_engulf,0.00042676681461256965,0.004889528361703061,11.45714285714063
setup_h4_bull_engulf,0.0010845546420563776,0.006816040035095597,6.284644194756288
setup_h4_bull_engulf,6.800652862677727e-05,0.00293628188306065,43.176470588215
setup_h4_bull_engulf,0.002149738475124213,0.008702844607472837,4.048327137546339
setup_h4_bull_engulf,0.0022254544298466678,0.001386934992886407,0.6232142857142062
setup_h4_bull_engulf,9.565563969700348e-05,0.0040095655639696874,41.916666666704565
setup_h4_bull_engulf,0.000442204649124605,0.006174929785072605,13.963963963962362
setup_h4_bull_engulf,0.00227959286152661,0.004375861821601939,1.9195804195804897
setup_h4_bull_engulf,8.81880168520304e-05,0.008882938424721447,100.72727272715547
setup_h4_bull_engulf,0.0007396273232649087,0.002183093550926833,2.9516129032254868
setup_h4_bull_engulf,0.004256907547274806,0.0042847045181990595,1.0065298507462415
setup_h4_bull_engulf,0.0017999827827733467,0.004746476338052461,2.636956521739206
setup_h4_bull_engulf,0.003961393852475001,0.004903290825225819,1.2377690802348118
setup_h4_bull_engulf,0.0005079554221376624,0.0048427629719592705,9.533834586466565
setup_h4_bull_engulf,0.002963466953941579,0.00605545160741622,2.0433673469387355
setup_h4_bull_engulf,0.002494123693419258,0.0037978701695249007,1.5227272727273213
setup_h4_bull_engulf,0.00019724988146040088,0.006327169274537634,32.07692307692388
setup_h4_bull_engulf,0.0006864418154276699,0.0018330680881252258,2.670391061452426
setup_h4_bull_engulf,0.00021391926839608123,0.005183722271669893,24.23214285714551
setup_h4_bull_engulf,0.00039710604244124983,0.00613434286513893,15.44761904761618
setup_h4_bull_engulf,0.0014573231434270597,0.005216081276993675,3.579220779220916
setup_h4_bull_engulf,0.00011333670824871434,0.008239578689676516,72.69999999995574
setup_h4_bull_engulf,0.0004001136771567657,0.003941306689003388,9.850467289722697
setup_h4_bull_engulf,0.0006560799224631938,0.005256094833370577,8.01136363636466
setup_h4_bull_engulf,0.0003099983588321848,0.005714910921059857,18.435294117649118
setup_h4_bull_engulf,0.0014471569547163568,0.0022834536873414493,1.577889447236224
setup_h4_bull_engulf,0.000548239602635936,0.0020431062524898084,3.7266666666664605
setup_h4_bull_engulf,0.0007424909657502251,0.003979458969144602,5.359605911330775
setup_h4_bull_engulf,0.0015704735900574608,0.0022069484982582157,1.405275779376505
setup_h4_bull_engulf,0.0015449966307905137,0.006652792721018242,4.306024096385421
setup_h4_bull_engulf,0.0017154774617102627,0.008585097319614645,5.004494382022161
setup_h4_bull_engulf,0.0019301685731717105,0.002145058116109481,1.1113320079523716
setup_h4_bull_engulf,0.0011298079713369547,0.004902283218095351,4.339041095890171
setup_h4_bull_engulf,0.0003660805603675353,0.00403066019043731,11.010309278347457
setup_h4_bull_engulf,0.0010753877306650106,0.004251976310962507,3.9539007092196607
setup_h4_bull_engulf,0.0,0.004415287601128177,inf
setup_h4_bull_engulf,0.0017774442701109121,0.009103243362060464,5.1215351812366094
setup_h4_bull_engulf,0.0008495661144486095,0.0034058498695309254,4.008928571428971
setup_h4_bull_engulf,0.000858200350085246,0.0022683709693883335,2.643171806167422
setup_h4_bull_engulf,0.0005970826090242338,0.003480462550071815,5.829113924050924
setup_h4_bull_engulf,0.0010946302095053153,0.008604479974369614,7.8606271777006285
setup_h4_bull_engulf,0.00036568860672650435,0.003555096455082444,9.721649484533362
setup_h4_bull_engulf,7.680550541855855e-05,0.007208196683538269,93.85000000008526
setup_h4_bull_engulf,0.0006455381021179168,0.00197119670468173,3.053571428571791
setup_h4_bull_engulf,0.00011460179695624574,0.004278467086363844,37.333333333310094
setup_h4_bull_engulf,0.0011421957571234943,0.001146003076313989,1.003333333333406
setup_h4_bull_engulf,2.2863675335789438e-05,0.0056358959702772085,246.5000000002236
setup_h4_bull_engulf,0.0019177433280105063,0.002047630326322031,1.067729083665368
setup_h4_bull_engulf,0.0001727546691747387,0.004936944545751244,28.577777777789613
setup_h4_bull_engulf,0.005106680923768753,0.005030575395843975,0.985096870342819
setup_h4_bull_engulf,0.00015795352405597297,0.0029259009932267066,18.52380952380571
setup_h4_bull_engulf,0.00027438451418906906,0.00504416463070854,18.383561643835257
setup_h4_bull_engulf,0.0013434226103222157,0.001020555850382801,0.7596685082872202
setup_h4_bull_engulf,0.0019069104376708706,0.003042238617324667,1.5953757225433742
setup_h4_bull_engulf,2.9050449737248576e-05,0.00850815046680452,292.87500000026995
setup_h4_bull_engulf,0.0008616090097626168,0.003842992487057787,4.460251046024433
setup_h4_bull_engulf,0.0018203486639875315,0.004872430256302298,2.676646706587014
setup_h4_bull_engulf,0.0005508212567254145,0.00375269191678688,6.812903225805616
setup_h4_bull_engulf,0.0014320642682500555,0.0026475724764233066,1.8487804878049012
setup_h4_bull_engulf,0.0011729332673630012,0.006570502285316806,5.6017699115045705
setup_h4_bull_engulf,0.0015931549274496037,0.0028910268295530487,1.8146551724138584
setup_h4_bull_engulf,0.0003623901181390844,0.006284880048870909,17.342857142861682
setup_h4_bull_engulf,0.0015401285257698877,0.004136539890010247,2.6858407079645845
setup_h4_bull_engulf,0.0004712470973911041,0.005573009151755125,11.826086956520593
setup_h4_bull_engulf,0.0010263818140347518,0.007941499692431046,7.7373737373742655
setup_h4_bull_engulf,0.0016955174318187992,0.011921387088036708,7.031120331949942
setup_h4_bull_engulf,0.0028622773831980977,0.003071879928666431,1.0732292917167026
setup_h4_bull_engulf,0.001707268132922041,0.0022820257314555776,1.3366533864541954
setup_h4_bull_engulf,6.0188993439344975e-05,0.0033338014699490584,55.38888888894068
setup_h4_bull_engulf,0.0008605397991414804,0.0016188698903388267,1.8812260536396994
setup_h4_bull_engulf,0.0005805821655715496,0.0045687857915709725,7.869318181817154
setup_h4_bull_engulf,7.587728992713081e-05,0.003942320063604903,51.95652173912553
setup_h4_bull_engulf,0.0020044727905243706,0.0011297937546591087,0.5636363636363227
setup_h4_bull_engulf,0.00031819731480429834,0.011685634040618939,36.724489795917926
setup_h4_bull_engulf,0.0028795484867972705,0.0027835635372374487,0.966666666666697
setup_h4_bull_engulf,2.004061564769447e-05,0.02052827062847372,1024.3333333342655
setup_h4_bull_engulf,0.00034250025183841436,0.012054665726469928,35.196078431373266
setup_h4_bull_engulf,0.00593363373128329,0.003056626561991883,0.5151356993736812
setup_h4_bull_engulf,0.00024641018495422074,0.007181096818668511,29.142857142867896
setup_h4_bull_engulf,3.0434173925881457e-06,0.015430126180085038,5069.9999998893145
setup_h4_bull_engulf,0.0009399397078147836,0.00751642575558474,7.996710526315867
setup_h4_bull_engulf,0.010616889875789343,0.0028329808449463036,0.26683716965046483
setup_h4_bull_engulf,0.002583778472865645,0.006675538364912928,2.5836341756919854
setup_h4_bull_engulf,0.0004968929044300206,0.006062699401001592,12.20121951219254
setup_h4_bull_engulf,0.003716894075994437,0.0017134193930368844,0.460981496379734
setup_h4_bull_engulf,0.001120556765285702,0.00659614225619568,5.886486486486831
setup_h4_bull_engulf,0.0042165677745016235,0.003543130331379708,0.8402877697841553
setup_h4_bull_engulf,0.0010492272381775584,0.005252097709286523,5.005681818181813
setup_h4_bull_engulf,0.0030437279270219423,0.007024674130692759,2.3079178885630136
setup_h4_bull_engulf,0.00036247424922515635,0.007331041690579893,20.22500000000305
setup_h4_bull_engulf,0.0010234044262241596,0.009647966727456183,9.427325581395285
setup_h4_bull_engulf,0.003924558634915628,0.0047786229763993405,1.2176204819276637
setup_h4_bull_engulf,0.00017820705878157132,0.007867841645207638,44.15000000000709
setup_h4_bull_engulf,0.0010766328681918538,0.004741383188332899,4.403899721448959
setup_h4_bull_engulf,0.0005753370158983089,0.0059492295686502696,10.340425531914322
setup_h4_bull_engulf,0.0015443756701433386,0.004730602397894454,3.0631163708085296
